iter	RMSE
0	7.036093212
1	6.871858189
2	6.724079278
3	6.558585382
4	6.40828934
5	6.254671229
6	6.108242223
7	5.980276919
8	5.844023831
9	5.726038532
10	5.599290446
11	5.493664171
12	5.371585217
13	5.270555309
14	5.165352335
15	5.083154712
16	4.981346263
17	4.895627879
18	4.820673785
19	4.726524339
20	4.651349978
21	4.565510204
22	4.482894703
23	4.400561176
24	4.328355757
25	4.253681773
26	4.201561197
27	4.146138723
28	4.093113315
29	4.029923485
30	3.970216774
31	3.912233096
32	3.857620502
33	3.804928459
34	3.755415186
35	3.716470262
36	3.667752315
37	3.635182072
38	3.588901033
39	3.546926224
40	3.505524199
41	3.464318685
42	3.425872631
43	3.388504655
44	3.353918001
45	3.324654775
46	3.29162023
47	3.268929372
48	3.238682301
49	3.21708353
50	3.189010901
51	3.161991136
52	3.135745263
53	3.110479906
54	3.086962329
55	3.063063168
